^:<name=antho footnote=ck>	note
1.18	The Triad Society, the Society of Brothers, the Big Sword Society, the Rational Life Society and the Green Band were primitive secret organizations among the people.^p The members were mainly bankrupt peasants, unemployed handicraftsmen and other lumpen-proletarians.^p In feudal China these elements were often drawn together by come religion or superstition to form organizations of a patriarchal pattern and bearing different names and some possessed arms.^p Through these organizations the lumpen-proletarians sought to help each other socially and economically, and sometimes fought the bureaucrats and landlords who oppressed them.^p Of course, such backward organizations could not provide a way out for the peasants and handicraftsmen.^p Furthermore, they could easily be controlled and utilized by the landlords and local tyrants and, because of this and of their blind destructiveness, come turned into reactionary forces.^p In his counter-revolutionary coup d'etat of 1927 Chiang Kai-shek made use of them to disrupt the unity of the labouring people and destroy the revolution.^p As the modern industrial proletariat arose and grew from strength to strength, the peasants, under the leadership of the working class, gradually formed themselves into organizations of an entirely new type, and these primitive, backward societies lost their raison d'etre.
2.1	Hunan Province was then the centre of the peasant movement in China.
2.2	Chao Heng-ti, the ruler of Hunan at the time, was the agent of the Northern warlords.^p He was overthrown by the Northern Expeditionary Army in 1926.
2.3	The Revolution of 1911 overthrew the autocratic regime of the Ching Dynasty.^p On October lo of that year, a section of the Ching Dynasty's New Army staged an uprising in Wuchang, Hupeh Province, at the urging of bourgeois and petty-bourgeois revolutionary societies.^p It was followed by uprisings in other provinces, and very soon the rule of the Ching Dynasty crumbled.^p On January 1, 1912, the Provisional Government of the Republic of China was set up in Nanking, and Sun Yat-sen was elected Provisional President.^p The revolution achieved victory through the alliance of the bourgeoisie with the peasants, workers and urban petty bourgeoisie.^p But state power fell into the hands of the Northern warlord Yuan Shih-kai, and the revolution failed, because the group which led it was conciliationist in nature, failed to give real benefits to the peasants and yielded to imperialist and feudal pressure.
2.4	These were the virtues of Confucius, as described by one of his disciples.
2.5	The old Chinese phrase, "exceeding the proper limits in righting a wrong", was often quoted for the purpose of restricting people's activities, reforms that remained within the framework of the established order were to be permitted, but activities aiming at the complete destruction of the old order were to be forbidden Actions within this framework were regarded as "proper", but those that aimed at completely destroying the old order were described as "exceeding the proper limits".^p It is a convenient doctrine for reformists and opportunists in the revolutionary ranks.^p Comrade Mao Tse-tung refuted this kind of reformist doctrine.^p His remark in the text that "Proper limits have to be exceeded in order to right a wrong, or else the wrong cannot be righted" meant that the mass revolutionary method, and not the revisionist-reformist method, had to be taken to end the old feudal order.
2.6	Chiang Kai-shek had not yet been fully exposed as a counter-revolutionary in the winter of 1926 and the spring of 1927 when the Northern Expeditionary Army was marching into the Yangtze valley, and the peasant masses still thought that he was for the revolution.^p The landlords and rich peasants disliked him and spread the rumour that the Northern Expeditionary Army had suffered defeats and that he had been wounded in the leg.^p Chiang Kai-shek came to be fully revealed as a counter-revolutionary on April 12, 1927, when he staged his counter-revolutionary coup d'état in Shanghai and elsewhere, massacring the workers, suppressing the peasants and attacking the Communist Party.^p The landlords and rich peasants then changed their attitude and began to support him.
2.7	Kwangtung was the first revolutionary base in the period of the First Revolutionary Civil War (1924-27).
2.8	Wu Pei-fu was one of the best-known of the Northern warlords.^p Together with Tsao Kun, who was notorious for his rigging of the presidential election in 1923 by bribing members of parliament, he belonged to the Chihli (Hopei) clique.^p He supported Tsao as the leader and the two were generally referred to as "Tsao-Wu".^p In 1920 after defeating Tuan Chi-jui, warlord of the Anhwei clique, Wu Pei-fu gained control of the Northern warlord government in Peking as an agent of the Anglo-American imperialists; it was he who gave the orders for the massacre, on February 7, 1923, of the workers on strike along the Peking-Hankow Railway.^p In 1924 he was defeated in the war with Chang Tso-lin (commonly known as the "war between the Chihli and Fengtien cliques"), and he was thereupon ousted from the Peking regime.^p In 1926 he joined forces with Chang Tso-lin at the instigation of the Japanese and British imperialists, and thus returned to power.^p When the Northern Expeditionary Army drove northward from Kwangtung in 1926, he was the first foe to be overthrown.
2.9	The Three People's Principles were Sun Yat-sen's principles and programme for the bourgeois-democratic revolution in China on the questions of nationalism, democracy and people's livelihood.^p In 1924, in the Manifesto of the First National Congress of the Kuomintang, Sun Yat-sen restated the Three People's Principles, interpreting nationalism as opposition to imperialism and expressing active support for the movements of the workers and peasants.^p The old Three People's Principles thus developed into the new, consisting of the Three Great Policies, that is, alliance with Russia, co-operation with the Communist Party, and assistance to the peasants and workers.^p The new Three People's Principles provided the political basis for co-operation between the Communist Party of China and the Kuomintang during the First Revolutionary Civil War period.
2.10	The Chinese term for "long live" is wansui, literally "ten thousand years", and was the traditional salute to the emperor; it had become a synonym for "emperor".
2.11	Rich peasants should not have been allowed to join the peasant associations, a point which the peasant masses did not yet understand in 1927.
2.12	Here the "utterly destitute" means the farm labourers (the rural proletariat) and the rural lumpen-proletariat.
2.13	The "less destitute" means the rural semi-proletariat.
2.14	Yuan Tsu-ming was a warlord of Kweichow Province who controlled the western part of Hunan.
2.15	A tenant generally gave his landlord, as a condition of tenancy, a deposit in cash or kind, often amounting to a considerable part of the value of the land.^p Though this was supposed to be a guarantee for payment of rent, it actually represented a form of extra exploitation.
2.16	In Hunan, the tu corresponded to the district and the tuan to the township The old administrations of the tu and the tuan type were instruments of landlord rule.
2.17	The tax per mou was a surcharge on top of the regular lent tax, ruthlessly imposed on the peasants by the landlord regime.
2.18	Under the regime of the Northern warlords, the military head of a province was called "military governor".^p But he was the virtual dictator of the province with administrative as well as military power gathered in his hands.^p In league with the imperialists, he maintained a separatist feudal-militarist regime in his locality.
2.19	The "standing household militia" was one of the various kinds of armed forces in the countryside.^p The term "household" is used because some member of almost every household had to join it.^p After the defeat of the revolution in 1927 the landlords in many places seized control of the militia ant turned them into armed counter-revolutionary bands.
2.20	At the time, many of the county headquarters of the Kuomintang.^p under the leadership of the Kuomintang's Central Executive Committee in Wuhan.^p pursued Dr. Sun Yat-sen's Three Great Policies of alliance with Russia, co-operation with the Communist Party and assistance to the peasants and workers.^p They constituted the revolutionary alliance of the Communists, the left-wingers of the Kuomintang and other revolutionaries.
2.21	Lord Pao (Pao Cheng) was prefect of Kaifeng, capital of the Northern Sung Dynasty (AD 960-1127).^p He was famous in popular legend as an upright official and a fearless, impartial judge with a knack of passing true verdicts in all the cases he tried.
2.22	This reference to archery is taken from Mencius.^p It describes how the expert teacher of archery draws his bow with a histrionic gesture but does not release the arrow.^p The point is that while Communists should guide the peasants in attaining a full measure of political consciousness, they should leave it to the peasants' own initiative to abolish superstitious and other bad practices, and should not give them orders or do it for them.
2.23	The Eight Characters were a method of fortune-telling in China based on the examination of the two cyclic characters each for the year, month, day and hour of a person's birth respectively.
2.24	Geomancy refers to the superstition that the location of one's ancestors' graves influences one's fortune.^p The geomancers claim to be able to tell whether a particular site and its surroundings are auspicious.
2.25	Lord Kuan (Kuan Yu, AD 160-219), a warrior in the epoch of the Three Kingdoms, was widely worshipped by the Chinese as the God of Loyalty and War.
2.26	Tang Sheng-chih was a general who sided with the revolution in the Northern Expedition.^p Yeh Kai-hsin was a general on the side of the Northern warlords who fought against the revolution.
2.27	Sun Chuan-fang was a warlord whose rule extended over the five provinces of Kiangsu, Chekiang, Fukien, Kiangsi and Anhwei.^p He was responsible for the bloody suppression of the insurrections of the Shanghai workers.^p His main army was crushed in the winter of 1926 by the Northern Expeditionary Army in Nanchang and Kiukiang, Kiangsi Province.
2.28	In China a dish is served in a bowl or a plate for the whole table, and not individually.
2.29	"Oriental Culture" was a reactionary doctrine which rejected modern scientific civilization and favoured the preservation of the backward mode of agricultural production and the feudal culture of the Orient.
2.30	For the secret societies, see "Analysis of the Classes in Chinese Society", Note 18, p. 21 of this volume.
2.31	"Mountain", "lodge", "shrine" and "river" were names used by primitive secret societies to denote some of their sects.
2.32	When Nanchang was captured by the Northern Expeditionary Army in November 1926, Chiang Kai-shek seized the opportunity to establish his general headquarters there.^p He gathered around himself the right-wing members of the Kuomintang and a number of Northern warlord politicians and, in collusion with the imperialists, hatched his counter-revolutionary plot against Wuhan, the then revolutionary centre.^p Eventually, on April 12, 1927, he staged his counter-revolutionary coup d'état which was marked by tremendous massacres in Shanghai.
2.33	Chang Ching-chiang, a right-wing Kuomintang leader, was a member of Chiang Kai-shek's brain trust.
2.34	Liu Yueh-chih was head of the "Left Society", an important anti-Communist group in Hunan.
2.35	As told by Liu Hsiang (77-6 BC) in his Hsin Hsu, Lord Sheh was so fond of dragons that he adorned his whole palace with drawings and carvings of them.^p But when a real dragon heard of his infatuation and paid him a visit, he was frightened out of his wits.^p Here Comrade Mao Tse-tung uses this metaphor to show that though Chiang Kai-shek and his like talked about revolution, they were afraid of revolution and against it.
3.1	By the term "bourgeoisie", Comrade Mao Tse-tung means the national bourgeoisie.^p For his detailed account of the distinction between this class and the big comprador bourgeoisie, see "On Tactics Against Japanese Imperialism" (December 1955) and "The Chinese Revolution and the Chinese Communist Party" (December 1939
3.2	These four cliques of warlords fought together against Chang Tso-lin and occupied Peking and Tientsin in June 1928
3.3	Chang Tso-lin, who headed the Fengtien clique of warlords, became the most powerful warlord in northern China after defeating Wu Pei-fu in the second Chihli-Fengden War in 1924.^p In 1926, with Wu Pei-fu as his ally, he marched on and occupied Peking.^p In June 1928, while retreating to the Northeast by rail, he was killed en route by a bomb planted by the Japanese imperialists whose tool he had been.
3.4	This reform movement arose after the Japanese invaders occupied Tsinan on May 3,1928, and after Chiang Kai-shek openly and brazenly compromised with Japan.^p Within the national bourgeoisie which had identified itself with the counter-revolutionary coup d'état of 1927, a section acting in its own interests gradually began to form an opposition to the Chiang Kai-shek regime.^p The careerist counter-revolutionary group of Wang Ching-wei, Chen Kung-po and others which was active in this movement formed what became known as the "Reorganization Clique" in the Kuomintang.
3.5	In 1928 Chiang Kai-shek, backed by British and USA imperialism, drove north to attack Chang Tso-lin.^p The Japanese imperialists then occupied Tsinan, the provincial capital of Shantung, and cut the Tientsin-Pukow railway line to check the northward spread of British and American influence.^p On May 3 the invading Japanese troops slaughtered large numbers of Chinese in Tsinan.^p This became known as the Tsinan Massacre.
3.6	The organizational form of China's Red political power was similar to that of Soviet political power.^p A Soviet is a representative council, a political institution created by the Russian working class during the 1905 Revolution.^p Lenin and Stalin, on the basis of Marxist theory, drew the conclusion that a Soviet republic is the most suitable form of social and political organization for the transition from capitalism to socialism.^p Under the leadership of the Bolshevik Party of Lenin and Stalin, the Russian October Socialist Revolution in 1917 brought into being for the first time in world history such a socialist Soviet republic, a dictatorship of the proletariat.^p After the defeat of the 1927 revolution in China, the representative council was adopted as the form of people's political power in various places in the mass revolutionary uprisings led by the Chinese Communist Party and, first and foremost, by Comrade Mao Tse-tung.^p In its nature political power at that stage of the Chinese revolution was a people's democratic dictatorship of the anti-imperialist, anti-feudal, new-democratic revolution led by the proletariat, which was different from the proletarian dictatorship in the Soviet Union.
3.7	During World War II, many colonial countries in the East formerly under the imperialist rule of Britain, the United States, Prance and the Netherlands were occupied by the Japanese imperialists.^p Led by their Communist Parties, the masses of workers, peasants and urban petty bourgeoisie and members of the national bourgeoisie in these countries took advantage of the contradictions between the British, USA, French and Dutch imperialists on the one hand and the Japanese imperialists on the other, organized a broad united from against fascist aggression, built anti-Japanese base areas and waged bitter guerrilla warfare against the Japanese.^p Thus the political situation existing prior to World War II began to change.^p  When the Japanese imperialists were driven out of these countries at the end of World War II, the imperialists of the United States, Britain, France and the Netherlands attempted to restore their colonial rule, but, having built up armed forces of considerable strength during the and-Japanese war, these colonial peoples refused to return to the old way of life.^p Moreover, the imperialist system all over the world was profoundly shaken because the Soviet Union had become strong, because all the imperialist powers, except the United States, had either been overthrown or weakened in the war, and finally because the imperialist front was breached in China by the victorious Chinese revolution.^p  Thus, much as in China, it has become possible for the peoples of all, or at least some, of the colonial countries in the East to maintain big and small revolutionary base areas and revolutionary regimes over a long period of time, and to carry on long-term revolutionary wars in which to surround the cities from the countryside, and then gradually to advance to take the cities and win nation-wide victory.^p The view held by Comrade Mao Tse-tung in 1928 on the question of establishing independent regimes in colonies under direct imperialist rule has changed as a result of the changes in the situation.
3.8	These were the first counter-attacks which the people under Communist leadership launched in various places against the forcer of the counter-revolution after Chiang Kai-shek and Wang Ching-wei successively turned traitor to the revolution in 1927 On December 11, 1927, the workers and revolutionary soldiers of Canton united to stage an uprising, and set up the people's political power.^p They fought fiercely against the counter-revolutionary forces, which were directly supported by imperialism' but failed because the disparity in strength was too great.^p Peasants in Haifeng and Luteng on the eastern coast of Kwangtung Province had started a powerful revolutionary movement during 1923-25 under the leadership of Comrade Peng Pai, a member of the Communist Party, and this movement contributed greatly to the victory of the two eastern campaigns launched from Canton by the National Revolutionary Army against the counter-revolutionary clique headed by Chen Chiung-ming.^p After Chiang Kai-shek's betrayal of the revolution on April l2, 1927, these peasants staged three uprisings in April, September and October, and established a revolutionary regime which held out until April 1928.^p In eastern Hunan Province, insurrectionary peasants captured an area embracing Linyang, Pingkiang, Liling and Chuchow in September 1927.^p At about the same time, tens of thousands of peasants staged an armed uprising in Hsiaokan, Macheng and Huangan in northeastern Hupeh Province and occupied the county town of Huangan for over thirty days.^p In southern Hunan, peasants in the counties of Yichang, Chenchow, Leiyang, Yungheing and Tzehsing rose in arms in January 1928 and set up a revolutionary regime, which lasted for three months.
3.9	The Red Guards were armed units of the masses in the revolutionary base areas, whose members carried on their regular productive work.
3.10	The Lohsiao mountain range is a large range running along the borders of Kiangsi and Hunan Provinces.^p The Chingkang Mountains are in its middle section.
3.11	By the term "petty bourgeoisie" Comrade Mao Tse-tung means those elements other than the peasants--handicraftsmen, small merchants, professional people of various kinds and petty-bourgeois intellectuals.^p In China they mostly live in cities but there are quite a number in the countryside.
3.12	Five Wells designates the villages of Big Well, Small Well, Upper Well, Middle Well and Lower Well, in the Chingkang Mountains, which are situated between Yunghsin, Ningkang and Suichuan in western Kiangsi and Linghsien County in eastern Hunan.
4.1	This war took place in October 1927.
4.2	This war took place in November and December 1927.
4.3	The system of the soldiers' representative conferences and soldiers' committees m the Red Army was later abolished.^p In 1947, the People's Liberation Army inaugurated a system of armymen's conferences and soldiers' committees, both under the leadership of cadres.
4.4	These troops, originally under the command of Comrades Yeh Ting and Ho Lung, staged the Nanchang Uprising of August 1, 1927.^p They were defeated in their advance on Chaochow and Swatow, Kwangtung Province, and some units, led by Comrades Chu The, Lin Piao and Chen Yi, withdrew to southern Hunan via Kiangsi to carry on guerrilla operations.^p They joined Comrade Mao Tse-tung's forces in the Chingkang Mountains in April 1928.
4.5	In the revolutionary days of 1927 most of the cadres in the Guards Regiment of the National Government at Wuchang were members of the Communist Party.^p At the end of July 1927, after Wang Ching-wei and his associates had betrayed the revolution, the regiment left Wuchang to join in the uprising at Nanchang.^p Learning en route that the revolutionary forces had already gone south from Nanchang, the regiment made a detour to Hsiushui in western Kiangsi to join the peasant armed forces of Pingkiang and Liuyang.
4.6	In the spring of 1927 peasant armed forces of considerable strength were formed in the area of Pingkiang and Liuyang, Hunan Province.^p On May 21, Hsu Keh-hsiang staged a counter-revolutionary coup in Changsha and massacred the revolutionary masses.^p The peasant armed forces then marched on Changsha on May 31 to hit back at the counter-revolutionaries, but were stopped by the opportunist Chen Tu-hsiu and turned back.^p Thereupon a section was reorganized into an independent regiment to engage in guerrilla warfare.^p After the Nanchang Uprising on August 1, these armed peasants joined forces with the former Guards Regiment of the Wuchang National Government at Hsiushui and Tungku in Kiangsi Province and at Pingkiang and Liuyang in Hunan Province, and staged the Autumn Harvest Uprising in co-ordination with the armed coal miners of Pinghsiang, Kiangsi.^p In October Comrade Mao Tse-tung led these forces to the Chingkang Mountains.
4.7	In early 1928, while Comrade Chu The was directing revolutionary guerrilla warfare in southern Hunan, peasant armies were organized in the counties of Yichang, Chenchow, Leiyang, Yunghsing and Tzehsing, where the peasant movement had already taken firm root.^p Comrade Chu The subsequently led them to the Chingkang Mountains to join the forces under Comrade Mao Tse-tung.
4.8	Shuikoushan in Changning, Hunan Province, is well known for is lead mines.^p In 1922 the miners there led by the Communist Party formed a trade union and for years conducted struggles against the counter-revolution.^p Many of the miners joined the Red Army after the Autumn Harvest Uprising of 1927.
4.9	The Anyuan Coal Mines in Pinghsiang County, Kiangsi Province, employing twelve thousand workers, were owned by the Han-Yeh-Ping Iron and Steel Company.^p From 1921 onwards Party organizations and a miners' union were set up there by the organizers sent by the Hunan Provincial Committee of the Communist Party.
4.10	In 1929 the Party representatives in the Red Army were renamed political commissars.^p In 1931 the company political commissars were renamed political instructors.
4.11	Expropriation of the local tyrants was only a temporary measure to defray part of the army's expenses.^p The expansion of the base areas and the growth of the army made it possible and necessary to defray army expenses through taxation.
4.12	This practice of equal cash payment, necessary at the time, remained in force over many years in the Red Army.^p Later on, however, officers and men received payments which differed slightly according to rank.
4.13	Here Comrade Mao Tse-tung lays special stress on the need for a definite measure of democracy in the revolutionary army, since, in the early period of the Red Army, without the stress on democracy it would not have been possible to arouse the revolutionary enthusiasm of the new peasant recruits and the captured White troops who had joined our ranks, nor would it have been possible to eliminate the warlord ways of the reactionary armies which had infected our cadres.^p Of course, democracy in the army must not transcend the limits of military discipline, which it must serve to strengthen and not weaken.^p Therefore, while a necessary measure of democracy should be promoted, the demand for ultra-democracy, which amounts to indiscipline, must be combated.^p Such indiscipline became a matter of serious concern at one point in the early days of the Red Army.^p For Comrade Mao Tse-tung's struggle against ultra-democracy in the army, see "On Correcting Mistaken Ideas in the Party", pp. 105-16 of this volume.
4.14	Comrade Yeh Ting commanded an independent regiment during the Northern Expedition in 1926.^p With Communists as its nucleus the regiment became famous as a crack force.^p It was expanded into the 24th Division after the capture of Wuchang by the revolutionary army and then into the Eleventh Army after the Nanchang Uprising.
4.15	Subsequent experience in the Red Army showed that a ratio of one Party member to two non-Party men was adequate.^p This proportion was generally maintained in the Red Army and later in the People's Liberation Army.
4.16	Instigated by Chiang Kai-shek and Wang Ching-wei, the counter-revolutionary Kuomintang army commanders in Hunan, including Hsu Keh-hsiang and Ho Chien, ordered a raid on the provincial headquarters of the trade unions, the peasant associations and other revolutionary organizations in Changsha on May 21, 1927.^p Communists and revolutionary workers and peasants were arrested and killed en masse.^p This signalized the open collaboration of the two counter-revolutionary Kuomintang cliques, the Wuhan clique headed by Wang Ching-wei and the Nanking clique headed by Chiang Kai-shek.
4.17	Confiscation and redistribution of all the land was a provision in the Land Law promulgated in the Hunan-Kiangsi border area in 1928.^p Comrade Mao Tse-tung later pointed out that the confiscation of all land, instead of only the land of the landlords, was a mistake stemming from inexperience in agrarian struggles.^p In the Land Law of Hsingkuo County, Kiangsi, adopted in April 1929, the provision "confiscate all the land" was changed into "confiscate the public land and the land of the landlord class".
4.18	In view of the importance of winning over the intermediate class in the countryside, Comrade Mao Tse-tung soon corrected the erroneous policy of dealing too sharply with it.^p Apart from the present article, Comrade Mao Tse-tung's views on policy towards this class were also set forth in proposals to the Sixth Party Congress of the Red Army (November 1928), including "The Prohibition of Reckless Burning and Killing" and "Protection of the Interests of the Middle and Small Merchants"; in the January 1929 proclamation of the Fourth Red Army which declared "merchants in the towns who have gradually built up some property are to be left alone so long as they obey the authorities"; in the Land Law of Hsingkuo County adopted in April 1929 (see Note 17), etc.
4.19	With the spread of the revolutionary war, the extension of the revolutionary base areas and the adoption of the policy of protecting industry and commerce by the revolutionary government, it became possible to change this situation, and a change did in fact occur later.^p What was crucial was resolutely to protect the industry and commerce of the national bourgeoisie and oppose ultra-Left policies.
4.20	Labour-power is not an appropriate criterion for land distribution.^p In the Red areas land was in fact redistributed equally on a per capita basis.
4.21	The Pacification Guards were a kind of local counter-revolutionary armed force.
5.1	For a brief period after the defeat of the revolution in 1927, a "Left" putschist tendency arose in the Communist Party.^p Regarding the Chinese revolution as a "permanent revolution" and the revolutionary situation in China as a "permanent upsurge", the putschist comrades refused to organize an orderly retreat and, adopting the methods of commandism and relying only on a small number of Party members and a small section of the masses, erroneously attempted to stage a series of local uprisings throughout the country, which had no prospect of success.^p Such putschist activities were widespread at the end of 1927 but gradually subsided in the beginning of 1928, though sentiments in favour of putschism still survived among some comrades.
5.2	In the guerrilla system of organization a column corresponded to a division in the regular army, with a complement much more flexible and usually much smaller than that of a regular division.
5.3	These two Chinese idioms refer to the methods which some rebels in Chinese history adopted to expand their forces.^p In the application of these methods, attention was paid to numbers rather than to quality, and people of all sorts were indiscriminately recruited to swell the ranks.
5.4	Huang Chao was the leader of the peasant revolts towards the end of the Tang Dynasty.^p In AD 875, starting from his home district Tsaochow (now Hotse County in Shantung), Huang led armed peasants in victorious battles against the imperial forces and styled himself the "Heaven-Storming General".^p In the course of a decade he swept over most of the provinces in the Yellow, Yangtse, Huai and Pearl river valleys, reaching as far as Kwangsi.^p He finally broke through the Tungkuan pass, captured the imperial capital of Changan (now Sian in Shensi), and was crowned Emperor of Chi.^p Internal dissensions and attacks by the non-Han tribal allies of the Tang forces compelled Huang to abandon Changan and retreat to his native district, where he committed suicide.^p The ten years' war fought by him is one of the most famous peasant wars in Chinese history.^p Dynastic historians record that "all people suffering from heavy taxes and levies rallied to him".^p But as he merely carried on roving warfare without ever establishing relatively consolidated base areas, his forces were called "roving rebel bands".
5.5	Li Chuang, short for Li Tzu-cheng the King Chuang (the Dare-All King), native of Michih, northern Shensi, was the leader of a peasant revolt which led to the overthrow of the Ming Dynasty.^p The revolt first started in northern Shensi in 1628.^p Li joined the forces led by Kao Ying-hsiang and campaigned through Honan and Anhwei and back to Shensi.^p After Kao's death in 1636, Li succeeded him, becoming King Chuang, and campaigned in and out of the provinces of Shensi, Szechuan, Honan and Hupeh Finally he captured the imperial capital of Peking in 1644, whereupon the last Ming emperor committed suicide.^p The chief slogan he spread among the masses was "Support King Chuang, and pay no grain taxes".^p Another slogan of his to enforce discipline among his men ran: "Any murder means the killing of my father, any rape means the violation of my mother." Thus he won the support of the masses and his movement became the main current of the peasant revolts raging all over the country.^p As he, too, roamed about without ever establishing relatively consolidated base areas, he was eventually defeated by Wu San-kuei, a Ming general who colluded with the Ching troops in a joint aback on Li.
6.1	Comrade Pang Chih-min, a native of Yiyang, Kiangsi Province, and a member of the Sixth Central Committee of the Communist Party of China, was the founder of the Red area in northeastern Kiangsi and of the Tenth Red Army.^p In 1934 he led the vanguard detachment of the Red Army in marching north to resist the Japanese invaders.^p In January 1935 he was captured in battle against the counter-revolutionary Kuomintang troops and in July he died a martyr's death in Nanchang, Kiangsi.
6.2	The subjective forces of the revolution mean the organized forces of the revolution.
6.3	Lu Ti-ping, a Kuomintang warlord, was the Kuomintang governor of Hunan Province in 1928.
6.4	The war of March-April 1929 between Chiang Kai-shek, the Kuomintang warlord in Nanking, and Li Tsung-jen and Pai Chung-hsi, the Kuomintang warlords in Kwangsi Province.
6.5	The third invasion of the Red Army's base area on the Chingkang Mountains by the Kuomintang warlords in Hunan and Kiangsi lasting from the cad of 1928 to the beginning of 1929.
6.6	The quotation is from Mencius, who compared a tyrant who drove his people into seeking a benevolent ruler to the otter which "drives the fish into deep waters".
